program_id,geo_type,geo_value
88b35191d25f,state,Florida
9ed9b232adae,state,Florida
e6e14772444e,state,Florida
c178e96756e0,state,Florida
d3d0c8c0fb47,state,Florida
b59af40fdb49,state,Florida
e9ad8b8ea11e,state,Florida
d9544846bfcd,state,Florida
f5f432504032,state,Florida
8e4379fc6f5d,state,Florida
aa84d58d2c38,state,Florida
f25c8bca2938,state,Florida
10106d481978,state,Florida
dbe52fac99e7,state,Florida
0ead1579e17a,state,Florida
b1da9c625572,state,Florida
231eade8b108,state,Florida
f406d65a781d,state,Florida
9ec4e028fdf3,state,Florida
399e55ed067e,state,Florida
9abe7583795c,state,Florida
5b77e2901394,state,Florida
43c582f0efd7,state,Florida
7dc503cdcbf4,state,Florida
a5e4fe7102f4,state,Florida
cbf91bfe8a60,state,Florida
9fa473703d1a,state,Florida
d065fe16c742,state,Florida
34bc9517ce9e,state,Florida
18b731a20256,state,Florida
ac6565b42573,state,Florida
7e1077c2410d,state,Florida
6514ea4d3dde,state,Florida
1d01971bf921,state,Florida
644d62e956ea,state,Florida
01a7902e95d3,state,Florida
a9ac9553ef5c,state,Florida
bd2aaba67eb8,state,Florida
a4079b7a3b83,state,Florida
846f1a3d1742,state,Florida
689c2e1ec382,state,Florida
0ec99b0737fc,state,Florida
284b2e76e1d6,state,Florida
b56d25c110cd,state,Florida
549edcc0e506,state,Florida
d6af0ef8475e,state,Florida
f1eb83b7a6dd,state,Florida
fbcd966e3aba,state,Florida
e57c5b3c496a,state,Florida
34a49c421e11,state,Florida
31a4cc1531ca,state,Florida
1c1546d32cba,state,Florida
5557828569ad,state,Florida
ce38876a68ef,state,Florida
e080571bb352,state,Florida
357542bca9bb,state,Florida
6b51981c81da,state,Florida
7c4bfee8ecd6,state,Florida
c65f20ab3d9d,state,Florida
4ac5ff401f80,state,Florida
418db50bdf8c,state,Florida
54400e893304,state,Florida
8e680413545e,state,Florida
0067ad271c4d,state,Florida
402be4c2b294,state,Florida
c8a53285df4e,state,Florida
0474cdbebc18,zip,33602
0474cdbebc18,zip,33603
0474cdbebc18,zip,33604
0474cdbebc18,zip,33605
0474cdbebc18,zip,33606
0474cdbebc18,zip,33607
0474cdbebc18,zip,33609
0474cdbebc18,zip,33610
0474cdbebc18,zip,33611
0474cdbebc18,zip,33612
0474cdbebc18,zip,33613
0474cdbebc18,zip,33614
0474cdbebc18,zip,33615
0474cdbebc18,zip,33616
0474cdbebc18,zip,33617
0474cdbebc18,zip,33618
0474cdbebc18,zip,33619
0474cdbebc18,zip,33620
0474cdbebc18,zip,33621
0474cdbebc18,zip,33624
0474cdbebc18,zip,33625
0474cdbebc18,zip,33626
0474cdbebc18,zip,33629
0474cdbebc18,zip,33634
0474cdbebc18,zip,33635
0474cdbebc18,zip,33637
0474cdbebc18,zip,33647
0474cdbebc18,city,Tampa
fe264178a096,zip,33602
fe264178a096,zip,33603
fe264178a096,zip,33604
fe264178a096,zip,33605
fe264178a096,zip,33606
fe264178a096,zip,33607
fe264178a096,zip,33609
fe264178a096,zip,33610
fe264178a096,zip,33611
fe264178a096,zip,33612
fe264178a096,zip,33613
fe264178a096,zip,33614
fe264178a096,zip,33615
fe264178a096,zip,33616
fe264178a096,zip,33617
fe264178a096,zip,33618
fe264178a096,zip,33619
fe264178a096,zip,33620
fe264178a096,zip,33621
fe264178a096,zip,33624
fe264178a096,zip,33625
fe264178a096,zip,33626
fe264178a096,zip,33629
fe264178a096,zip,33634
fe264178a096,zip,33635
fe264178a096,zip,33637
fe264178a096,zip,33647
fe264178a096,city,Tampa
